ID	Description	中文翻译（机翻）	解释
1	Support user accounts and user login	支持用户帐户和用户登录功能	需要在系统中为用户提供注册、登录、注销、密码找回等基础账号功能。用户注册时可能需要提供个人信息，如邮箱、手机号码等。登录方式可包括：传统的账号+密码登录、验证码登录等
2	Option to store customer's card details for quicker bookings	可以选择存储客户的卡的详细信息，以便更快的预订	用户可以选择在系统中保存他们的支付卡信息，以便在下次租用电动滑板车时可以快速结账。用户应能够随时查看、更新或删除其保存的银行卡信息。提供“设为默认卡”的选项，但需要提示用户可能的风险并确保明示同意。
3	If ID 2: good security for user accounts	如果ID为2：对用户帐户具有良好的安全性	与第1点、第2点紧密相关，确保用户账号与支付信息安全。无论是否选择存储支付卡信息，都应确保用户账号具有基本的安全防护。如果仅实现基础功能，可以先使用简单的加盐 MD5 算法；而如果涉及敏感信息的存储与处理，则推荐使用 BCrypt 或 Argon2 等高级加密算法。
4	"View hire options and cost: 1hr, 4hrs, 1day, 1week"	查看雇佣选择和成本：1小时，4小时，1天，1周	系统应清晰展示每个租赁选项及其价格，让用户能够根据使用时长选择合适的服务，并了解对应的费用结构。
5	Book an e-scooter; select e-scooter ID and hire period.	预订电动滑板车；选择电动滑板车ID和租用期限。	用户需要查看系统中可用的电子滑板车列表，每辆车都有唯一的ID。用户在选择了具体车辆和租赁时长后，提交预订请求。选择具体的电子滑板车（通过ID识别）和确定租赁时长。确保用户能清晰了解各选项及对应费用，并通过确认流程完成预订。
6	Handle card payment for booking (simulated)	办理预订卡支付（模拟）	输入支付信息（用户在预订确认页面选择“支付”）——数据格式校验（系统对用户输入的支付信息进行格式验证，确保数据符合基本要求）——模拟支付网关交互（模拟调用支付网关的接口，不进行真实扣款，而是根据预设条件返回支付成功或失败的结果）——订单更新与通知。（若支付成功，系统生成支付确认记录，并发送订单确认通知给用户；若支付失败，系统提示错误信息，并允许用户重试或选择其他支付方式。）这个流程旨在通过模拟支付接口完成卡支付测试，同时在开发过程中验证系统对支付信息的处理与订单状态更新。
7	Send booking confirmation via email	通过电子邮件发送预订确认信息	根据用户注册时填写的邮箱账号发去对应的电子邮件
8	Store booking confirmation and display on demand	保存预订确认，并按需显示	在预订流程完成后，将订单确认信息（如预订号、选定的车辆ID、租赁时长、时间戳等）存入数据库或持久化存储系统。用户可以通过预订记录页面或订单详情页面随时查看自己的预订确认信息。系统应提供检索和过滤功能，帮助用户快速找到指定的订单信息。同时兼顾数据安全和用户体验。
9	(Staff) Take bookings for unregistered users (req ID 7)	（员工）为未注册用户接受预订（要求ID 7)	"系统允许员工直接为未注册用户创建预订，未注册用户可以通过在线客服、简化预订表单、客服电话或电子邮件等方式联系员工。员工在录入预订信息时，只需填写必要的基本信息（如姓名、联系方式等），确保预订后能与用户取得联系。
需要提供专门的员工操作界面，用于手动输入预订数据，包括车辆选择、租赁时长、支付方式等。员工可通过预订管理后台查看、修改或处理这些未注册用户的订单。"
10	ID5: Update e-scooter status from available to unavailable	ID5：将电动滑板车的状态从可用更新为不可用	在第五项预定部分完成后，将滑板车的状态从可预订变为不可预订。同时从显示可使用车辆的地图上隐藏(见17）。
11	ID5: Option to extend current booking	ID5：扩展当前预订的选项	在第五项预定部分完成后，提供用户可以扩展（修改）当前预定选择的选项。
12	Cancel booking	取消预订	用户可以随时取消用户的预定；商户在特定情况下也可以取消用户的预定（比如用户无法正常取消）。
13	Send short feedback for issues/faults	发送有关问题/故障的简短反馈	系统应允许用户以简短文本反馈问题或故障，以便快速收集并及时处理。支持选择几个选项，比如“轮子坏了”“支付异常”等等，这个可以与ID14的功能进行呼应，应该明确有哪些问题，同时标明重要等级。同时支持，其他，让用户输入。
14	"if ID13: Prioritise feedback - escalate to high priority, resolve for low priority"	如果ID13：优先级反馈-升级至高优先级，则解决低优先级	"当收到用户反馈被评为高优先级（如涉及安全漏洞、严重服务中断或关键功能故障）时，系统应立即将该反馈标记为紧急事项，反馈会被迅速上报给相关的技术支持或管理团队，确保能在最短时间内进行调查和修复。同时，系统可以设置自动通知机制，提醒相关负责人跟进处理情况，并在处理过程中保持对用户的沟通反馈。
对于不太紧急的问题或意见（如界面小瑕疵、体验优化建议等），系统可以将其归类为低优先级。这些反馈将按常规维护流程处理，可能会在下一次版本更新或例行维护时一并解决。系统依然会记录和存档这些反馈，供后续分析和改进参考，但处理时间不会像高优先级那样紧迫。"
15	if ID14: View high priority issues	如果ID14：查看高优先级的问题	"工程师需要能够随时监看高优先级的反馈，提供一个专用界面或仪表板，专门展示所有被标记为高优先级的问题，以便相关人员能够迅速查看和跟进。高优先级问题的列表应实时更新，确保管理员和技术支持人员能够在第一时间了解最新的紧急问题。
系统需要能够自动或手动将反馈和问题按照优先级进行分类，确保高优先级的问题能够被明确标记和过滤出来。"
16	Configure e-scooter details and costs.	配置电动滑板车的细节和成本。	"这一需求主要包括两个方面：配置车辆的基本信息以及设定租赁费用。
电子滑板车基本信息配置:唯一标识符（ID） 为每辆车分配一个唯一的标识符，便于系统追踪与管理;车辆型号与状态： 包括车型、颜色、制造商信息以及当前的维护状态（如正常、维修中、低电量等）;位置与定位： 配置车辆的地理位置数据，方便用户查找附近可用车辆;其他属性： 如续航里程、电池状态、是否支持特定功能（如锁车、定位追踪）等信息。
租赁费用配置:定义不同租赁时长的费用选项根据租赁时长，设定相应的租金。可以考虑引入优惠活动、峰谷时段价格调整或促销活动，提升系统灵活性与竞争力。"
17	Display scooter list availability: availability/location if available	显示滑板车列表的可用性：可用性/位置	列表中显示所有电子滑板车的基本信息，包括唯一标识符、型号及当前状态。如果车辆可用，则在列表中标明“可用”状态，否则标记为“不可用”或“正在使用”。当车辆处于可用状态时，系统同时展示该车辆的具体位置或地理区域，方便用户查找最近的可用车辆。用户可以通过筛选或排序功能快速定位附近的可用滑板车。如果定位信息不可用或车辆状态为不可用，则只显示车辆状态或其他基本信息。从用户可见地图上隐藏“正在使用车辆”
18	Display the five scooter locations on a visual map (see sheet 2)	在可视地图上显示五个滑板车位置（见表2）	整合一个地图组件（如 Google Maps 或其他地图库），确保页面可以加载并显示地图。根据 Sheet 2 中提供的地理坐标，为每个滑板车在地图上放置一个标记。用户点击标记时，弹出显示该滑板车的详细信息（如ID、状态、可用性等），提高用户体验。
19	"View weekly income for rental options: 1hr, 4hr, day, week (tracking popular hire length)"	查看每周收入的租金选项：1小时，4小时，一天，每周（跟踪流行的雇佣长度）	"系统需要记录每笔租赁订单，包括租赁时长、租金、租赁开始和结束时间等关键信息。将订单数据按照租赁时长分类保存，便于后续统计每种租赁时长的收入情况。
每周定时对各个租赁时长选项的订单数据进行统计。"
20	"View combined daily income over a week duration (tracking popular hire days- include 1hr, 4hr, 1day, discount 1week hire period in this statistic)"	查看在一周的持续时间内的综合每日收入（跟踪流行的雇佣日-包括1小时，4小时，1天，折扣1周的雇佣期间在这个统计数据中）	"系统需要记录每笔租赁订单，包括租赁时长、租金、租赁开始和结束时间等关键信息。将订单数据按照租赁时长分类保存，便于后续统计每种租赁时长的收入情况。
计算每个选项的总收入。计算每个选项平均下来每日的收入。"
21	"If ID 19, 20: plot weekly income graphically"	"如果ID为19,20：用图形绘制每周收入"	构建一个仪表盘或图表界面，将1小时、4小时、1天和1周的每周收入数据直观展示出来。可选用柱状图、折线图等方式呈现数据，标记出热门租赁时长，便于管理人员快速掌握情况。系统可以自动生成每周的收入报告，包括各租赁时长的详细数据和趋势分析。通过报告，管理者能够及时调整运营策略，优化租赁选项和价格设置。
22	"Discount applied for frequent users (8+hrs per week), students, senior citizens"	频繁用户（每周8+小时）、学生、老年人申请折扣	在用户注册登录时可以给出对不同特殊人群的优惠政策，例如学生或老人。
23	Support usage by multiple clients simultaneously	支持多个客户端同时使用	允许同一个账号在不同的终端上登录，支持多个用户的并发访问
24	Provide a responsive user interface	提供具有响应性的用户界面	自适应、导航栏、性能优化与加载速度、无障碍与兼容性考虑、…。需要移动端和电脑端
25	"Address issues of accessibility (colour & font choices, etc)"	解决可访问性的问题（颜色和字体选择等）	WCAG，主要颜色为黑 灰 白 蓝（哈罗单车）
			
ex1		扫一扫（用摄像头扫描二维码开锁）	二维码开锁
ex2		客服（接入大模型，我们实现）	人工客服成本较高，且解决所有顾客的需求效率较低；接入大模型人工智能可以有效降低成本。同时保留，电子邮箱联系，电话联系
ex3		允许用户以第三方平台登陆，并直接使用第三方平台上保存的客户信息。（缺少的关键信息仍需要客户填写）	降低第一次使用成本，使用微信登录，并要求填写邮箱。（并不要求真实实现）
ex4		禁停区（在该区域内滑板车禁止停放，即禁止还车）	"在首页地图上用红色半透明图形标示禁停区，后台管理端可添加或者修改删除管
理区，通过选择点位来连接成一个闭合图形，以此来划定禁停区"
